Hotel Name,Room Type,Single Bed,Double Bed,Price
TIME Onyx Hotel Apartments,Studio,No,Yes,"₹ 13,634"
Oaks Ibn Battuta Gate Dubai,Premier Room with Free access to a Private Beach Club,No,No,"₹ 19,570"
"Sheraton Mall of the Emirates Hotel, Dubai","Superior King Room, City view",No,Yes,"₹ 28,878"
Marriott Executive Apartments Dubai Al Jaddaf,One-Bedroom Apartment (Complimentary Shuttle to La Mer and Dubai Mall),No,Yes,"₹ 17,553"
Regent Palace Hotel,Standard Room,Yes,Yes,"₹ 6,134"
HE Hotel Apartments,Deluxe King Studio Apartment,No,Yes,"₹ 6,887"
Manhattan Avenue Hotel,Standard King Room,No,No,"₹ 8,228"
Ibis One Central - World Trade Centre Dubai,Standard Queen Room,No,Yes,"₹ 6,829"
"Amwaj Rotana, Jumeirah Beach - Dubai",Newly Renovated - Sea View Room with Balcony - King Bed,No,Yes,"₹ 20,330"
MENA Plaza Hotel Albarsha At The Mall,"Deluxe Twin Non Smoking Room - 20% off F&B, Laundry and Spa",Yes,No,"₹ 9,125"
